NR_CIRC,JUDET,NR_SECTII,NR_DEP,CAS_DEP,NR_SEN,CAS_SEN,NR_PRES
1,  ALBA,346,6,31,3,31,6
2,  ARAD,321,7,35,3,28,6
3,  ARGES,381,10,42,4,35,6
4,  BACAU,410,11,37,5,30,6
5,  BIHOR,457,9,34,4,27,6
6,  BISTRITA-NASAUD,243,5,29,2,24,6
7,  BOTOSANI,292,7,31,3,29,6
8,  BRASOV,401,9,36,4,30,6
9,  BRAILA,228,6,33,2,30,6
10,  BUZAU,333,7,36,3,29,6
11,  CARAS-SEVERIN,321,5,26,2,22,6
12,  CALARASI,189,5,31,2,28,6
13,  CLUJ,461,11,39,5,31,6
14,  CONSTANTA,523,11,44,5,38,6
15,  COVASNA,161,4,22,2,18,6
16,  DIMBOVITA,306,8,37,3,30,6
17,  DOLJ,431,11,47,5,37,6
18,  GALATI,330,9,39,4,31,6
19,  GIURGIU,210,4,34,2,30,6
20,  GORJ,239,6,34,3,28,6
21,  HARGHITA,224,5,21,2,20,6
22,  HUNEDOARA,410,8,31,3,25,6
23,  IALOMITA,179,4,32,2,25,6
24,  IASI,530,12,43,5,36,6
25,  MARAMURES,303,8,30,3,27,6
26,  MEHEDINTI,235,5,35,2,30,6
27,  MURES,442,9,26,4,21,6
28,  NEAMT,423,8,35,4,27,6
29,  OLT,269,7,38,3,31,6
30,  PRAHOVA,552,12,48,5,37,6
31,  SATU MARE,257,6,28,3,21,6
32,  SALAJ,229,4,24,2,19,6
33,  SIBIU,354,6,40,3,33,6
34,  SUCEAVA,402,10,36,4,30,6
35,  TELEORMAN,318,7,34,3,27,6
36,  TIMIS,462,10,42,4,30,6
37,  TULCEA,176,4,25,2,19,6
38,  VASLUI,310,7,31,3,27,6
39,  VILCEA,288,6,33,3,30,6
40,  VRANCEA,254,6,35,2,31,6
41,  MUN.BUCURESTI,1281,29,61,13,53,6
42,  SECT.AGRICOL ILFOV,170,4,45,2,39,6
